ID	Case.Number	Date	Block	IUCR	Primary.Type	Description	Location.Description	Arrest	Domestic	Beat	District	Ward	Community.Area	FBI.Code	X.Coordinate	Y.Coordinate	Year	Updated.On	Latitude	Longitude	Location
10439747	HZ178727	2016-03-07	026XX W THOMAS ST	0820	THEFT	$500 AND UNDER	APARTMENT	false	false	1211	12	1	24	06	1158502	1907215	2016	04/22/2016 03:50:05 PM	41.901138962	-87.693250896	(41.901138962, -87.693250896)
10458343	HZ197562	2016-03-22	063XX S DR MARTIN LUTHER KING JR DR	1710	OFFENSE INVOLVING CHILDREN	ENDANGERING LIFE/HEALTH CHILD	APARTMENT	true	false	312	3	20	69	20	1180014	1862874	2016	04/22/2016 03:50:05 PM	41.778996578	-87.615597205	(41.778996578, -87.615597205)
10438471	HZ176857	2016-03-06	019XX S THROOP ST	051A	ASSAULT	AGGRAVATED: HANDGUN	STREET	true	false	1235	12	25	31	04A	1168009	1890791	2016	04/24/2016 03:46:16 PM	41.855870302	-87.658805093	(41.855870302, -87.658805093)
10456556	HZ196010	2016-03-21	024XX W 70TH ST	0496	BATTERY	AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST	APARTMENT	true	true	832	8	17	66	04B	1161405	1858174	2016	04/24/2016 03:46:16 PM	41.766505081	-87.683949664	(41.766505081, -87.683949664)
10449033	HZ187689	2016-03-15	071XX S NORMAL BLVD	0430	BATTERY	AGGRAVATED: OTHER DANG WEAPON	SIDEWALK	true	false	732	7	6	68	04B	1174198	1857513	2016	04/25/2016 03:49:09 PM	41.76441661	-87.637078169	(41.76441661, -87.637078169)
10491930	HZ232809	2016-03-26	092XX S COMMERCIAL AVE	1150	DECEPTIVE PRACTICE	CREDIT CARD FRAUD	BANK	false	false	423	4	10	46	11	1197746	1844398	2016	04/25/2016 03:49:09 PM	41.727872617	-87.551207132	(41.727872617, -87.551207132)
10494263	HZ235014	2016-03-26	083XX S STEWART AVE	1154	DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	DEPARTMENT STORE	false	false	622	6	21	44	11	1175078	1849610	2016	04/25/2016 03:49:09 PM	41.742710224	-87.634088181	(41.742710224, -87.634088181)
10435997	HZ173742	2016-03-04	021XX W WARREN BLVD	1811	NARCOTICS	POSS: CANNABIS 30GMS OR LESS	VACANT LOT/LAND	true	false	1223	12	2	28	18	1162064	1900331	2016	03/11/2016 03:51:59 PM	41.88217503	-87.680359785	(41.88217503, -87.680359785)
10436008	HZ173746	2016-03-04	020XX W NORWOOD ST	502P	OTHER OFFENSE	FALSE/STOLEN/ALTERED TRP	STREET	false	false	2413	24	40	2	26	1161704	1940305	2016	03/11/2016 03:51:59 PM	41.991873608	-87.680564028	(41.991873608, -87.680564028)
10436010	HZ173747	2016-03-04	053XX N NORTHWEST HWY	0460	BATTERY	SIMPLE	STREET	false	true	1622	16	45	11	08B	1136789	1934844	2016	03/11/2016 03:51:59 PM	41.977372721	-87.772341502	(41.977372721, -87.772341502)
10436014	HZ173762	2016-03-04	025XX E 76TH ST	0486	BATTERY	DOMESTIC BATTERY SIMPLE	APARTMENT	true	true	421	4	7	43	08B	1194324	1855058	2016	03/11/2016 03:51:59 PM	41.757209187	-87.563392885	(41.757209187, -87.563392885)
10436024	HZ173782	2016-03-04	034XX W 16TH ST	1506	PROSTITUTION	SOLICIT ON PUBLIC WAY	CTA BUS STOP	true	false	1021	10	24	29	16	1153880	1891832	2016	03/11/2016 03:51:59 PM	41.859019798	-87.710637937	(41.859019798, -87.710637937)
